Country,CountryCode,Region,IncomeGroup,numCode
Afghanistan,AFG,South Asia,Low income,4
Albania,ALB,Europe & Central Asia,Upper middle income,8
Algeria,DZA,Middle East & North Africa,Upper middle income,12
American Samoa,ASM,East Asia & Pacific,Upper middle income,16
Andorra,AND,Europe & Central Asia,High income: nonOECD,20
Angola,AGO,Sub-Saharan Africa,Upper middle income,24
Antigua and Barbuda,ATG,Latin America & Caribbean,High income: nonOECD,28
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,31
Argentina,ARG,Latin America & Caribbean,Upper middle income,32
Australia,AUS,East Asia & Pacific,High income: OECD,36
Austria,AUT,Europe & Central Asia,High income: OECD,40
Bahamas,BHS,Latin America & Caribbean,High income: nonOECD,44
Bahrain,BHR,Middle East & North Africa,High income: nonOECD,48
Bangladesh,BGD,South Asia,Low income,50
Armenia,ARM,Europe & Central Asia,Lower middle income,51
Barbados,BRB,Latin America & Caribbean,High income: nonOECD,52
Belgium,BEL,Europe & Central Asia,High income: OECD,56
Bermuda,BMU,North America,High income: nonOECD,60
Bhutan,BTN,South Asia,Lower middle income,64
Bolivia (Plurinational State of),BOL,Latin America & Caribbean,Lower middle income,68
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,70
Botswana,BWA,Sub-Saharan Africa,Upper middle income,72
Brazil,BRA,Latin America & Caribbean,Upper middle income,76
Belize,BLZ,Latin America & Caribbean,Upper middle income,84
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,90
Brunei Darussalam,BRN,East Asia & Pacific,High income: nonOECD,96
Bulgaria,BGR,Europe & Central Asia,Upper middle income,100
Myanmar,MMR,East Asia & Pacific,Low income,104
Burundi,BDI,Sub-Saharan Africa,Low income,108
Belarus,BLR,Europe & Central Asia,Upper middle income,112
Cambodia,KHM,East Asia & Pacific,Low income,116
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,120
Canada,CAN,North America,High income: OECD,124
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,132
Cayman Islands,CYM,Latin America & Caribbean,High income: nonOECD,136
Central African Republic,CAF,Sub-Saharan Africa,Low income,140
Sri Lanka,LKA,South Asia,Lower middle income,144
Chad,TCD,Sub-Saharan Africa,Low income,148
Chile,CHL,Latin America & Caribbean,High income: OECD,152
China,CHN,East Asia & Pacific,Upper middle income,156
Colombia,COL,Latin America & Caribbean,Upper middle income,170
Comoros,COM,Sub-Saharan Africa,Low income,174
Congo,COG,Sub-Saharan Africa,Lower middle income,178
Democratic Republic of the Congo,COD,Sub-Saharan Africa,Low income,180
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,188
Croatia,HRV,Europe & Central Asia,High income: nonOECD,191
Cuba,CUB,Latin America & Caribbean,Upper middle income,192
Cyprus,CYP,Europe & Central Asia,High income: nonOECD,196
Czech Republic,CZE,Europe & Central Asia,High income: OECD,203
Benin,BEN,Sub-Saharan Africa,Low income,204
Denmark,DNK,Europe & Central Asia,High income: OECD,208
Dominica,DMA,Latin America & Caribbean,Upper middle income,212
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,214
Ecuador,ECU,Latin America & Caribbean,Upper middle income,218
El Salvador,SLV,Latin America & Caribbean,Lower middle income,222
Equatorial Guinea,GNQ,Sub-Saharan Africa,High income: nonOECD,226
Ethiopia,ETH,Sub-Saharan Africa,Low income,231
Eritrea,ERI,Sub-Saharan Africa,Low income,232
Estonia,EST,Europe & Central Asia,High income: OECD,233
Faroe Islands,FRO,Europe & Central Asia,High income: nonOECD,234
Fiji,FJI,East Asia & Pacific,Upper middle income,242
Finland,FIN,Europe & Central Asia,High income: OECD,246
France,FRA,Europe & Central Asia,High income: OECD,250
French Polynesia,PYF,East Asia & Pacific,High income: nonOECD,258
Djibouti,DJI,Middle East & North Africa,Lower middle income,262
Gabon,GAB,Sub-Saharan Africa,Upper middle income,266
Georgia,GEO,Europe & Central Asia,Lower middle income,268
Gambia,GMB,Sub-Saharan Africa,Low income,270
Occupied Palestinian Territory,PSE,Middle East & North Africa,Lower middle income,275
Germany,DEU,Europe & Central Asia,High income: OECD,276
Ghana,GHA,Sub-Saharan Africa,Lower middle income,288
Kiribati,KIR,East Asia & Pacific,Lower middle income,296
Greece,GRC,Europe & Central Asia,High income: OECD,300
Greenland,GRL,Europe & Central Asia,High income: nonOECD,304
Grenada,GRD,Latin America & Caribbean,Upper middle income,308
Guam,GUM,East Asia & Pacific,High income: nonOECD,316
Guatemala,GTM,Latin America & Caribbean,Lower middle income,320
Guinea,GIN,Sub-Saharan Africa,Low income,324
Guyana,GUY,Latin America & Caribbean,Lower middle income,328
Haiti,HTI,Latin America & Caribbean,Low income,332
Honduras,HND,Latin America & Caribbean,Lower middle income,340
Hong Kong,HKG,East Asia & Pacific,High income: nonOECD,344
Hungary,HUN,Europe & Central Asia,Upper middle income,348
Iceland,ISL,Europe & Central Asia,High income: OECD,352
India,IND,South Asia,Lower middle income,356
Indonesia,IDN,East Asia & Pacific,Lower middle income,360
Iran (Islamic Republic of),IRN,Middle East & North Africa,Upper middle income,364
Iraq,IRQ,Middle East & North Africa,Upper middle income,368
Ireland,IRL,Europe & Central Asia,High income: OECD,372
Israel,ISR,Middle East & North Africa,High income: OECD,376
Italy,ITA,Europe & Central Asia,High income: OECD,380
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,384
Jamaica,JAM,Latin America & Caribbean,Upper middle income,388
Japan,JPN,East Asia & Pacific,High income: OECD,392
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,398
Jordan,JOR,Middle East & North Africa,Upper middle income,400
Kenya,KEN,Sub-Saharan Africa,Low income,404
Democratic People's Republic of Korea,PRK,East Asia & Pacific,Low income,408
