Lon   Lat   maxcropfrac 
-179.75 -16.75 0.867 
-179.75 65.25 1.000 
-179.75 65.75 1.000 
-179.75 66.25 1.000 
-179.75 66.75 1.000 
-179.75 67.25 1.000 
-179.75 67.75 1.000 
-179.75 68.25 1.000 
-179.75 68.75 1.000 
-179.75 70.75 1.000 
-179.75 71.25 1.000 
-179.75 71.75 1.000 
-179.25 65.25 1.000 
-179.25 65.75 1.000 
-179.25 66.25 1.000 
-179.25 66.75 1.000 
-179.25 67.25 1.000 
-179.25 67.75 1.000 
-179.25 68.25 1.000 
-179.25 68.75 1.000 
-179.25 70.75 1.000 
-179.25 71.25 1.000 
-178.75 -17.25 0.909 
-178.75 65.75 1.000 
-178.75 66.25 1.000 
-178.75 66.75 1.000 
-178.75 67.25 1.000 
-178.75 67.75 1.000 
-178.75 68.25 1.000 
-178.75 68.75 1.000 
-178.75 70.75 1.000 
-178.75 71.25 1.000 
-178.25 51.75 0.411 
-178.25 65.25 1.000 
-178.25 65.75 1.000 
-178.25 66.25 1.000 
-178.25 66.75 1.000 
-178.25 67.25 1.000 
-178.25 67.75 1.000 
-178.25 68.25 1.000 
-178.25 70.75 1.000 
-178.25 71.25 1.000 
-177.75 51.75 0.839 
-177.75 65.25 1.000 
-177.75 65.75 1.000 
-177.75 66.25 1.000 
-177.75 66.75 1.000 
-177.75 67.25 1.000 
-177.75 67.75 1.000 
-177.75 68.25 1.000 
-177.75 71.25 1.000 
-177.25 65.25 1.000 
-177.25 65.75 1.000 
-177.25 66.25 1.000 
-177.25 66.75 1.000 
-177.25 67.25 1.000 
-177.25 67.75 1.000 
-177.25 68.25 1.000 
-176.75 -43.75 0.996 
-176.75 51.75 0.802 
-176.75 65.75 1.000 
-176.75 66.25 1.000 
-176.75 66.75 1.000 
-176.75 67.25 1.000 
-176.75 67.75 1.000 
-176.75 68.25 1.000 
-176.25 -44.25 0.940 
-176.25 -43.75 1.000 
-176.25 51.75 0.624 
-176.25 65.25 1.000 
-176.25 65.75 1.000 
-176.25 66.25 1.000 
-176.25 66.75 1.000 
-176.25 67.25 1.000 
-176.25 67.75 1.000 
-175.75 64.75 1.000 
-175.75 65.25 1.000 
-175.75 65.75 1.000 
-175.75 66.25 1.000 
-175.75 66.75 1.000 
-175.75 67.25 1.000 
-175.75 67.75 1.000 
-175.25 -21.25 1.000 
-175.25 64.75 1.000 
-175.25 65.25 1.000 
-175.25 65.75 1.000 
-175.25 66.25 1.000 
-175.25 66.75 1.000 
-175.25 67.25 1.000 
-175.25 67.75 1.000 
-174.75 52.25 0.582 
-174.75 64.75 1.000 
-174.75 65.25 1.000 
-174.75 65.75 1.000 
-174.75 66.25 1.000 
-174.75 66.75 1.000 
-174.75 67.25 1.000 
-174.25 52.25 0.659 
-174.25 64.75 1.000 
-174.25 65.25 1.000 
-174.25 65.75 1.000 
-174.25 66.25 1.000 
-174.25 66.75 1.000 
-174.25 67.25 1.000 
-173.75 -18.75 0.910 
-173.75 64.25 1.000 
-173.75 64.75 1.000 
-173.75 65.25 1.000 
-173.75 65.75 1.000 
-173.75 66.25 1.000 
-173.75 66.75 1.000 
-173.75 67.25 1.000 
-173.25 64.25 1.000 
-173.25 64.75 1.000 
-173.25 65.25 1.000 
-173.25 65.75 1.000 
-173.25 66.25 1.000 
-173.25 66.75 1.000 
-173.25 67.25 1.000 
-172.75 -13.75 0.985 
-172.75 60.25 1.000 
-172.75 64.25 1.000 
-172.75 64.75 1.000 
-172.75 65.25 1.000 
-172.75 65.75 1.000 
-172.75 66.25 1.000 
-172.75 66.75 1.000 
-172.25 -13.75 0.956 
-172.25 64.25 1.000 
-172.25 64.75 1.000 
-172.25 65.25 1.000 
-172.25 65.75 1.000 
-172.25 66.25 1.000 
-172.25 66.75 1.000 
-171.75 -14.25 0.990 
-171.75 -13.75 0.794 
-171.75 63.25 1.000 
-171.75 63.75 1.000 
-171.75 65.75 1.000 
-171.75 66.25 1.000 
-171.75 66.75 1.000 
-171.25 -14.25 0.966 
-171.25 63.25 1.000 
-171.25 63.75 1.000 
-171.25 65.25 1.000 
-171.25 65.75 1.000 
-171.25 66.25 1.000 
-171.25 66.75 1.000 
-170.75 -14.25 0.738 
-170.75 63.25 1.000 
-170.75 63.75 1.000 
-170.75 65.75 1.000 
-170.75 66.25 1.000 
-170.25 63.25 1.000 
-170.25 63.75 1.000 
-170.25 65.75 1.000 
-170.25 66.25 1.000 
-169.75 63.25 1.000 
-169.75 66.25 1.000 
-169.25 63.25 1.000 
-168.75 52.75 0.959 
-168.75 53.25 0.747 
-168.75 63.25 1.000 
-168.25 53.25 0.771 
-168.25 53.75 0.830 
-168.25 65.75 1.000 
-167.75 53.25 0.926 
-167.75 65.25 1.000 
-167.75 65.75 1.000 
-167.25 53.25 0.723 
-167.25 53.75 0.502 
-167.25 60.25 1.000 
-167.25 65.25 1.000 
-167.25 65.75 1.000 
-166.75 53.25 0.392 
-166.75 53.75 0.388 
-166.75 59.75 1.000 
-166.75 60.25 1.000 
-166.75 64.75 1.000 
-166.75 65.25 1.000 
-166.75 65.75 1.000 
-166.75 66.25 1.000 
-166.25 53.75 0.451 
-166.25 59.75 1.000 
-166.25 60.25 1.000 
-166.25 61.75 1.000 
-166.25 64.75 1.000 
-166.25 65.25 1.000 
-166.25 65.75 1.000 
-166.25 66.25 1.000 
-166.25 68.25 1.000 
-166.25 68.75 1.000 
-165.75 59.75 1.000 
-165.75 60.25 1.000 
-165.75 61.25 1.000 
-165.75 61.75 1.000 
-165.75 62.25 1.000 
-165.75 64.75 1.000 
-165.75 65.25 1.000 
-165.75 65.75 1.000 
-165.75 66.25 1.000 
-165.75 68.25 1.000 
-165.75 68.75 1.000 
-165.25 60.25 1.000 
-165.25 60.75 1.000 
-165.25 61.25 1.000 
-165.25 61.75 1.000 
-165.25 62.25 1.000 
-165.25 62.75 1.000 
-165.25 64.25 1.000 
-165.25 64.75 1.000 
-165.25 65.25 1.000 
-165.25 65.75 1.000 
-165.25 66.25 1.000 
-165.25 67.75 1.000 
-165.25 68.25 1.000 
-165.25 68.75 1.000 
-164.75 54.25 0.839 
-164.75 54.75 0.908 
-164.75 60.25 1.000 
-164.75 60.75 1.000 
-164.75 61.25 1.000 
-164.75 61.75 1.000 
-164.75 62.25 1.000 
-164.75 62.75 1.000 
-164.75 63.25 1.000 
-164.75 64.25 1.000 
-164.75 64.75 1.000 
-164.75 65.25 1.000 
-164.75 65.75 1.000 
-164.75 66.25 1.000 
-164.75 67.75 1.000 
-164.75 68.25 1.000 
-164.75 68.75 1.000 
-164.25 54.25 0.968 
-164.25 54.75 0.900 
-164.25 59.75 1.000 
-164.25 60.25 1.000 
-164.25 60.75 1.000 
-164.25 61.25 1.000 
-164.25 61.75 1.000 
-164.25 62.25 1.000 
-164.25 62.75 1.000 
-164.25 63.25 1.000 
-164.25 64.75 1.000 
-164.25 65.25 1.000 
-164.25 65.75 1.000 
-164.25 66.25 1.000 
-164.25 67.75 1.000 
-164.25 68.25 1.000 
-164.25 68.75 1.000 
-163.75 54.75 0.838 
-163.75 55.25 1.000 
-163.75 59.75 1.000 
-163.75 60.25 1.000 
-163.75 60.75 1.000 
-163.75 61.25 1.000 
-163.75 61.75 1.000 
-163.75 62.25 1.000 
-163.75 62.75 1.000 
-163.75 63.25 1.000 
-163.75 64.75 1.000 
-163.75 65.25 1.000 
-163.75 65.75 1.000 
-163.75 66.25 1.000 
