CATEGORY,ITEM,kcal,protein_g,fat_g
CEREALS AND PRODUCTS,WHEAT ,334,12.2,2.3
CEREALS AND PRODUCTS,FLOUR OF WHEAT ,364,10.9,1.1
CEREALS AND PRODUCTS,BRAN OF WHEAT ,213,12.1,3.1
CEREALS AND PRODUCTS,MACARONI ,367,11,1.1
CEREALS AND PRODUCTS,GERM OF WHEAT ,382,29.1,10.7
CEREALS AND PRODUCTS,BREAD ,249,8.2,1.2
CEREALS AND PRODUCTS,BULGUR WHOLEMEAL ,345,12.3,2
CEREALS AND PRODUCTS,PASTRY ,369,7.4,17
CEREALS AND PRODUCTS,WHEAT STARCH,362,0.5,0.3
CEREALS AND PRODUCTS,WHEAT GLUTEN,380,95,0
CEREALS AND PRODUCTS,RICE PADDY ,280,6,1.4
CEREALS AND PRODUCTS,RICE HUSKED ,357,7.5,1.8
CEREALS AND PRODUCTS,RICE MILLED ,360,6.7,0.7
CEREALS AND PRODUCTS,RICE BROKEN ,360,6.7,0.7
CEREALS AND PRODUCTS,RICE FLOUR ,366,6.4,0.8
CEREALS AND PRODUCTS,RICE GLUTEN ,380,95,0
CEREALS AND PRODUCTS,RICE STARCH ,362,0.5,0.3
CEREALS AND PRODUCTS,BRAN OF RICE ,276,13.3,15.8
CEREALS AND PRODUCTS,BARLEY ,332,11,1.8
CEREALS AND PRODUCTS,POT BARLEY ,348,9.6,1.1
CEREALS AND PRODUCTS,BARLEY PEARLED,346,9,1.4
CEREALS AND PRODUCTS,BARLEY FLOUR AND GRITS,343,9.2,1.7
CEREALS AND PRODUCTS,MALT OF BARLEY ,368,13.1,1.9
CEREALS AND PRODUCTS,MALT EXTRACTS,367,6,0
CEREALS AND PRODUCTS,MAIZE ,356,9.5,4.3
CEREALS AND PRODUCTS,GERM OF MAIZE ,373,11.1,38.5
CEREALS AND PRODUCTS,FLOUR OF MAIZE ,363,8.4,1.2
CEREALS AND PRODUCTS,MAIZE GLUTEN,380,95,0
CEREALS AND PRODUCTS,STARCH OF MAIZE,362,0.5,0.3
CEREALS AND PRODUCTS,POP CORN ,356,9.5,4.3
CEREALS AND PRODUCTS,RYE ,319,11,1.9
CEREALS AND PRODUCTS,FLOUR OF RYE ,341,9,1.8
CEREALS AND PRODUCTS,OATS ,385,13,7.5
CEREALS AND PRODUCTS,OATS ROLLED,384,16,6.3
CEREALS AND PRODUCTS,MILLET ,340,9.7,3
CEREALS AND PRODUCTS,FLOUR OF MILLET,340,9.7,3
CEREALS AND PRODUCTS,SORGHUM ,343,10.1,3.3
CEREALS AND PRODUCTS,FLOUR OF SORGHM,343,10.1,3.3
CEREALS AND PRODUCTS,BUCKWHEAT ,330,11,2
CEREALS AND PRODUCTS,FLOUR OF BUCKWHEAT,344,6.4,1.2
CEREALS AND PRODUCTS,QUINOA ,342,12,5
CEREALS AND PRODUCTS,FONIO ,338,8,3
CEREALS AND PRODUCTS,FLOUR OF FONIO ,355,9,2.2
CEREALS AND PRODUCTS,TRITICALE ,327,11.6,2.1
CEREALS AND PRODUCTS,FLOUR OF TRITICALE,341,11.4,2.1
CEREALS AND PRODUCTS,CANARY SEED ,388,16,6
CEREALS AND PRODUCTS,MIXED GRAIN ,340,8,1.5
CEREALS AND PRODUCTS,FLOUR OF MIXED GRAIN,364,10,1.1
CEREALS AND PRODUCTS,CEREALS NES ,340,8,1.5
CEREALS AND PRODUCTS,WAFERS ,439,9.2,13.1
CEREALS AND PRODUCTS,FLOUR OF CEREALS,364,10,1.1
CEREALS AND PRODUCTS,BREAKFAST CEREALS,389,7.4,0.7
CEREALS AND PRODUCTS,CEREALS PREPARED NES,364,10,1.1
CEREALS AND PRODUCTS,MIXES AND DOUGHS,393,6.2,12
CEREALS AND PRODUCTS,FOOD PREPARATIONS FLOUR,377,7.5,2.7
"ROOTS, TUBERS AND PRODUCTS",POTATOES ,67,1.6,0.1
"ROOTS, TUBERS AND PRODUCTS",FLOUR OF POTATOES ,349,8.5,0.4
"ROOTS, TUBERS AND PRODUCTS",POTATOES FROZEN ,73,1.2,0
"ROOTS, TUBERS AND PRODUCTS",POTATO STARCH ,362,0.5,0.3
"ROOTS, TUBERS AND PRODUCTS",POTATO TAPIOCA ,362,0.5,0.3
"ROOTS, TUBERS AND PRODUCTS",SWEET POTATOES,92,0.7,0.2
"ROOTS, TUBERS AND PRODUCTS",CASSAVA ,109,0.9,0.2
"ROOTS, TUBERS AND PRODUCTS",FLOUR OF CASSAVA ,338,1.5,0.6
"ROOTS, TUBERS AND PRODUCTS",CASSAVA TAPIOCA ,362,0.5,0.3
"ROOTS, TUBERS AND PRODUCTS",CASSAVA DRIED ,255,2.8,0.7
"ROOTS, TUBERS AND PRODUCTS",CASSAVA STARCH,362,0.5,0.3
"ROOTS, TUBERS AND PRODUCTS",YAUTIA (COCOYAM),109,1.7,0.3
"ROOTS, TUBERS AND PRODUCTS",TARO (COCOYAM) ,86,1.5,0.2
"ROOTS, TUBERS AND PRODUCTS",YAMS ,101,1.3,0.2
"ROOTS, TUBERS AND PRODUCTS","ROOTS, TUBERS NES",91,1.6,0.2
"ROOTS, TUBERS AND PRODUCTS",FLOUR OF ROOTS AND TUBERS,282,5,0.6
"ROOTS, TUBERS AND PRODUCTS","ROOTS, TUBERS DRIED",282,5,0.6
SUGAR AND SYRUPS,SUGAR CANE ,30,0.2,0
SUGAR AND SYRUPS,SUGAR BEETS ,70,1.3,0.1
SUGAR AND SYRUPS,SUGAR CROPS NES,390,0,0
SUGAR AND SYRUPS,"SUGAR, CENTRIFUGAL RAW",373,0,0
SUGAR AND SYRUPS,SUGAR REFINED,387,0,0
SUGAR AND SYRUPS,"SUGAR, NONCENTRIFUGAL",351,1,0
SUGAR AND SYRUPS,MOLASSES ,232,0,0
SUGAR AND SYRUPS,MAPLE SUGAR ,348,0,0
SUGAR AND SYRUPS,SUGAR AND SYRUP NES ,310,0,0
SUGAR AND SYRUPS,SUGAR CONFECTIONERY ,310,0,0
SUGAR AND SYRUPS,SUGARS FLAVOURED ,310,0,0
SUGAR AND SYRUPS,GLUCOSE AND DEXTROSE,368,0,0
SUGAR AND SYRUPS,LACTOSE ,387,0,0
SUGAR AND SYRUPS,ISOGLUCOSE ,318,0,0
SUGAR AND SYRUPS,FRUCTOSE CHEMICAL,375,0,0
SUGAR AND SYRUPS,OTHER FRUCTOSE,298,0.3,0
SUGAR AND SYRUPS,MALTOSE CHEMICAL,375,0,0
SUGAR AND SYRUPS,HONEY ,298,0.4,0
PULSES,"BEANS, DRY ",341,22.1,1.7
PULSES,BROAD BEANS DRY,343,23.4,2
PULSES,"PEAS, DRY ",346,22.5,1.8
PULSES,CHICK-PEAS ,358,20.1,4.5
PULSES,COW PEAS DRY,342,23.4,1.8
PULSES,PIGEON PEAS ,343,20.9,1.7
PULSES,LENTILS ,346,24.2,1.8
PULSES,BAMBARA BEANS,365,17.7,6.3
PULSES,VETCHES ,325,31.5,1.9
PULSES,LUPINS ,390,40,13
PULSES,PULSES NES ,340,22,2
